Date,No_of_Accidents,Tithi,Nakshtra,Karna,Yoga,Ayanamsa,Rashi
04-06-2017,717,Dasami,Hasta,Garaja,Vyatipata,"24 5'54""",Kanya
20-01-2018,715,Thadiya,Dhanista,Taitula,Vyatipata,"24 6'25""",Kumbha
05-11-2016,715,Panchami,Purva-Shada,Balava,Sukarman,"24 5'28""",Dhanu
18-02-2018,714,Vidhiya,Purva-Bhadra,Kaulava,Siddha,"24 6'28""",Kumbha
14-01-2018,713,Trayodasi,Jyesta,Garaja,Vridhi,"24 6'24""",Vrushchika
05-03-2017,713,Sapthami,Rohini,Vanija,Vishkambha,"24 5'44""",Vrushabha
05-05-2016,712,Trayodasi,Revathi,Vanija,Vishkambha,"24 5'5""",Meena
04-05-2016,712,Dvadasi,Uttara-Bhadra,Kaulava,Vaidhruthi,"24 5'5""",Meena
23-09-2018,710,Trayodasi,Satabhisham,Taitula,Dhrithi,"24 6'55""",Kumbha
01-04-2018,710,Padyami,Hasta,Balava,Dhruva,"24 6'32""",Kanya
04-12-2016,709,Chavithi,Uttara-Shaada,Vishti,Vridhi,"24 5'32""",Makara
21-10-2017,709,Padyami,Swati,Bawa,Prithi,"24 6'11""",Tula
12-03-2017,706,Punnami,Pubha,Vishti,Dhrithi,"24 5'45""",Simha
23-03-2016,704,Punnami,Uttara,Vishti,Ganda,"24 5'1""",Kanya
01-10-2017,703,Dasami,Sravanam,Garaja,Sukarman,"24 6'9""",Makara
15-08-2020,703,Ekadasi,Mrugasira,Bawa,Harshana,"24 8'29""",Mithuna
27-08-2016,703,Dasami,Mrugasira,Vanija,Vajra,"24 5'21""",Mithuna
05-08-2018,703,Ashtami,Bharani,Kaulava,Ganda,"24 6'50""",Mesha
11-11-2017,702,Ashtami,Aslesha,Balava,Sukla,"24 6'14""",Karkataka
09-12-2017,700,Shasti,Makha,Vanija,Vaidhruthi,"24 6'18""",Simha
23-10-2016,700,Ashtami,Pushyami,Kaulava,Sadhya,"24 5'26""",Karkataka
08-04-2017,699,Dvadasi,Pubha,Balava,Ganda,"24 5'47""",Simha
13-08-2017,699,Shasti,Revathi,Garaja,Soola,"24 6'5""",Meena
13-08-2016,697,Dasami,Jyesta,Taitula,Indra,"24 5'20""",Vrushchika
08-10-2016,697,Sapthami,Mula,Garaja,Sobhana,"24 5'25""",Dhanu
06-11-2016,697,Shasti,Purva-Shada,Taitula,Dhrithi,"24 5'28""",Dhanu
06-05-2017,696,Ekadasi,Pubha,Vanija,Vyaghata,"24 5'50""",Simha
25-05-2017,695,Chaturdasi,Bharani,Sakuna,Sobhana,"24 5'53""",Mesha
05-08-2017,695,Trayodasi,Purva-Shada,Kaulava,Vishkambha,"24 6'4""",Dhanu
17-06-2017,694,Sapthami,Purva-Bhadra,Bawa,Prithi,"24 5'56""",Kumbha
11-06-2017,694,Vidhiya,Mula,Taitula,Subha,"24 5'55""",Dhanu
15-04-2017,693,Chaviti,Anuradha,Bawa,Vyatipata,"24 5'48""",Vrushchika
21-01-2017,692,Navami,Swati,Taitula,Soola,"24 5'39""",Tula
20-05-2017,691,Navami,Satabhisham,Taitula,Vaidhruthi,"24 5'52""",Kumbha
03-06-2017,691,Navami,Uttara,Kaulava,Siddhi,"24 5'54""",Kanya
25-02-2017,691,Chaturdasi,Sravanam,Vishti,Parigha,"24 5'44""",Makara
01-10-2016,690,Amavasya,Hasta,Nagava,Bramha,"24 5'24""",Kanya
29-07-2018,690,Padyami,Sravanam,Kaulava,Ayushman,"24 6'49""",Makara
26-08-2017,689,Panchami,Chitta,Bawa,Sukla,"24 6'6""",Kanya
28-08-2016,687,Ekadasi,Aarudra,Bawa,Siddhi,"24 5'21""",Mithuna
22-04-2017,685,Dasami,Dhanista,Vishti,Sukla,"24 5'48""",Kumbha
30-07-2016,684,Ekadasi,Rohini,Balava,Dhruva,"24 5'18""",Vrushabha
25-12-2018,684,Thadiya,Pushyami,Vanija,Indra,"24 7'7""",Karkataka
20-08-2017,680,Trayodasi,Pushyami,Vanija,Vyatipata,"24 6'6""",Karkataka
12-11-2016,679,Dvadasi,Revathi,Balava,Vajra,"24 5'28""",Meena
31-03-2016,678,Sapthami,Mula,Bawa,Variyan,"24 5'2""",Dhanu
02-09-2017,677,Ekadasi,Purva-Shada,Vishti,Ayushman,"24 6'7""",Dhanu
02-05-2016,676,Dasami,Satabhisham,Vanija,Bramha,"24 5'5""",Kumbha
20-08-2016,676,Vidhiya,Purva-Bhadra,Garaja,Sukarman,"24 5'21""",Kumbha
14-10-2017,675,Navami,Pushyami,Garaja,Siddha,"24 6'10""",Karkataka
08-04-2018,674,Ashtami,Purva-Shada,Balava,Parigha,"24 6'33""",Dhanu
01-04-2017,674,Panchami,Kruthika,Bawa,Prithi,"24 5'47""",Vrushabha
29-01-2017,673,Padyami,Dhanista,Bawa,Vyatipata,"24 5'41""",Makara
19-11-2017,672,Padyami,Anuradha,Kimstughana,Atiganda,"24 6'15""",Vrushchika
