Date,No_of_Accidents,,Tithi,Nakshtra,Karna,Yoga,Ayanamsa,Rashi
09-04-2022,5003,,,,,,,
22-06-2022,4997,,,,,,,
26-08-2021,4987,,,,,,,
03-03-2022,4980,,,,,,,
15-06-2022,4971,,,,,,,
31-12-2021,4967,,,,,,,
19-10-2020,4966,,,,,,,
15-10-2022,4957,,,,,,,
13-07-2022,4954,,,,,,,
19-09-2022,4953,,,,,,,
29-06-2022,4945,,,,,,,
21-02-2022,4944,,,,,,,
25-08-2021,4942,,,,,,,
18-12-2021,4942,,,,,,,
22-07-2021,4940,,,,,,,
06-07-2022,4915,,,,,,,
15-09-2022,4913,,,,,,,
04-01-2021,4912,,,,,,,
31-01-2023,4907,,,,,,,
29-12-2021,4903,,,,,,,
04-12-2019,4886,,,,,,,
08-07-2021,4885,,,,,,,
24-03-2022,4874,,,,,,,
11-08-2021,4861,,,,,,,
11-01-2022,4859,,,,,,,
13-09-2022,4858,,,,,,,
26-07-2022,4856,,,,,,,
08-01-2021,4854,,,,,,,
08-06-2022,4851,,,,,,,
01-01-2023,4848,,,,,,,
07-06-2022,4835,,,,,,,
07-07-2022,4830,,,,,,,
29-07-2021,4829,,,,,,,
20-02-2021,4820,,,,,,,
13-01-2021,4820,,,,,,,
21-11-2022,4816,,,,,,,
05-08-2021,4801,,,,,,,
07-05-2021,4792,,,,,,,
13-12-2020,4784,,,,,,,
11-12-2021,4777,,,,,,,
28-10-2021,4772,,,,,,,
12-07-2022,4755,,,,,,,
05-07-2022,4750,,,,,,,
03-06-2021,4742,,,,,,,
27-09-2022,4725,,,,,,,
06-04-2020,4724,,,,,,,
23-08-2021,4720,,,,,,,
11-12-2022,4719,,,,,,,
07-07-2021,4716,,,,,,,
23-06-2021,4713,,,,,,,
02-08-2022,4708,,,,,,,
23-10-2020,4707,,,,,,,
16-08-2021,4706,,,,,,,
29-09-2022,4703,,,,,,,
02-06-2021,4701,,,,,,,
26-11-2020,4699,,,,,,,
26-06-2020,4699,,,,,,,
28-06-2022,4696,,,,,,,
03-12-2022,4688,,,,,,,
12-10-2021,4685,,,,,,,
26-05-2021,4680,,,,,,,
05-01-2021,4671,,,,,,,
22-06-2021,4667,,,,,,,
06-02-2020,4662,,,,,,,
26-07-2021,4660,,,,,,,
26-09-2022,4659,,,,,,,
19-06-2020,4658,,,,,,,
24-12-2022,4652,,,,,,,
28-06-2021,4648,,,,,,,
14-06-2021,4646,,,,,,,
23-03-2020,4640,,,,,,,
21-05-2021,4636,,,,,,,
12-11-2019,4633,,,,,,,
16-01-2021,4630,,,,,,,
21-05-2022,4622,,,,,,,
21-06-2021,4617,,,,,,,
31-01-2021,4609,,,,,,,
01-08-2022,4606,,,,,,,
27-10-2020,4599,,,,,,,
30-01-2021,4596,,,,,,,
10-06-2021,4591,,,,,,,
05-11-2022,4572,,,,,,,
13-12-2019,4571,,,,,,,
24-01-2021,4565,,,,,,,
12-12-2019,4564,,,,,,,
27-06-2022,4561,,,,,,,
12-06-2020,4554,,,,,,,
12-07-2021,4552,,,,,,,
18-01-2021,4544,,,,,,,
06-07-2021,4534,,,,,,,
07-02-2021,4529,,,,,,,
08-11-2020,4515,,,,,,,
02-08-2021,4512,,,,,,,
19-03-2020,4511,,,,,,,
16-04-2022,4510,,,,,,,
21-07-2021,4508,,,,,,,
09-06-2021,4492,,,,,,,
01-01-2021,4492,,,,,,,
24-12-2021,4491,,,,,,,
07-01-2021,4490,,,,,,,
12-09-2022,4489,,,,,,,
05-05-2021,4485,,,,,,,
19-07-2021,4483,,,,,,,
22-05-2020,4482,,,,,,,
28-09-2020,4478,,,,,,,
12-02-2022,4475,,,,,,,
25-07-2022,4472,,,,,,,
13-11-2019,4466,,,,,,,
02-04-2022,4457,,,,,,,
10-10-2022,4455,,,,,,,
11-12-2019,4454,,,,,,,
06-05-2021,4452,,,,,,,
03-08-2021,4448,,,,,,,
06-01-2023,4445,,,,,,,
19-03-2022,4441,,,,,,,
01-06-2021,4440,,,,,,,
03-10-2022,4438,,,,,,,
01-05-2022,4436,,,,,,,
09-12-2019,4422,,,,,,,
16-10-2019,4420,,,,,,,
04-12-2021,4420,,,,,,,
30-09-2021,4413,,,,,,,
10-01-2022,4408,,,,,,,
07-02-2020,4391,,,,,,,
04-08-2021,4389,,,,,,,
19-11-2022,4387,,,,,,,
06-11-2019,4387,,,,,,,
08-06-2021,4380,,,,,,,
14-02-2021,4370,,,,,,,
19-12-2019,4370,,,,,,,
23-06-2020,4369,,,,,,,
08-11-2019,4368,,,,,,,
18-10-2021,4367,,,,,,,
07-11-2019,4366,,,,,,,
14-06-2022,4364,,,,,,,
28-07-2021,4359,,,,,,,
06-01-2021,4349,,,,,,,
25-06-2020,4337,,,,,,,
17-01-2022,4336,,,,,,,
07-06-2021,4335,,,,,,,
22-10-2019,4334,,,,,,,
31-10-2019,4330,,,,,,,
11-01-2021,4326,,,,,,,
25-05-2021,4324,,,,,,,
09-04-2021,4322,,,,,,,
15-10-2020,4322,,,,,,,
19-02-2022,4318,,,,,,,
01-11-2019,4315,,,,,,,
18-09-2020,4313,,,,,,,
11-10-2021,4312,,,,,,,
23-12-2019,4307,,,,,,,
05-03-2022,4304,,,,,,,
10-12-2019,4301,,,,,,,
25-12-2020,4297,,,,,,,
16-01-2022,4293,,,,,,,
06-11-2018,4293,,,,,,,
24-05-2021,4287,,,,,,,
16-07-2022,4285,,,,,,,
24-09-2020,4280,,,,,,,
01-11-2020,4266,,,,,,,
12-10-2020,4260,,,,,,,
12-11-2022,4257,,,,,,,
08-05-2020,4250,,,,,,,
11-07-2022,4248,,,,,,,
17-01-2020,4246,,,,,,,
29-10-2019,4238,,,,,,,
20-06-2022,4223,,,,,,,
01-11-2021,4221,,,,,,,
22-06-2020,4219,,,,,,,
18-06-2020,4205,,,,,,,
24-06-2021,4203,,,,,,,
29-09-2020,4200,,,,,,,
13-06-2022,4188,,,,,,,
16-01-2020,4178,,,,,,,
02-10-2020,4170,,,,,,,
17-10-2019,4168,,,,,,,
06-12-2019,4168,,,,,,,
11-10-2019,4167,,,,,,,
05-02-2022,4166,,,,,,,
11-06-2020,4166,,,,,,,
08-10-2019,4165,,,,,,,
10-10-2019,4159,,,,,,,
05-11-2019,4159,,,,,,,
27-07-2021,4158,,,,,,,
21-10-2019,4158,,,,,,,
24-06-2020,4153,,,,,,,
17-10-2022,4153,,,,,,,
20-12-2019,4152,,,,,,,
24-01-2020,4146,,,,,,,
24-10-2019,4146,,,,,,,
14-02-2020,4145,,,,,,,
13-10-2020,4144,,,,,,,
18-12-2019,4142,,,,,,,
13-02-2020,4141,,,,,,,
29-05-2020,4138,,,,,,,
25-10-2019,4138,,,,,,,
20-03-2020,4136,,,,,,,
16-06-2020,4128,,,,,,,
26-12-2022,4125,,,,,,,
17-12-2019,4106,,,,,,,
28-09-2022,4104,,,,,,,
09-04-2020,4093,,,,,,,
09-11-2018,4092,,,,,,,
04-10-2019,4091,,,,,,,
30-04-2021,4084,,,,,,,
15-01-2023,4083,,,,,,,
30-09-2020,4082,,,,,,,
21-02-2021,4076,,,,,,,
05-06-2020,4072,,,,,,,
24-04-2020,4066,,,,,,,
17-06-2020,4065,,,,,,,
20-05-2021,4064,,,,,,,
14-10-2020,4060,,,,,,,
14-01-2020,4059,,,,,,,
30-04-2020,4059,,,,,,,
15-06-2020,4057,,,,,,,
23-09-2020,4056,,,,,,,
02-01-2023,4055,,,,,,,
15-11-2020,4051,,,,,,,
30-10-2019,4047,,,,,,,
05-03-2021,4045,,,,,,,
23-04-2021,4045,,,,,,,
27-08-2022,4043,,,,,,,
17-09-2020,4043,,,,,,,
20-12-2020,4041,,,,,,,
23-10-2019,4041,,,,,,,
01-05-2020,4039,,,,,,,
18-05-2020,4038,,,,,,,
27-05-2020,4036,,,,,,,
03-05-2021,4025,,,,,,,
09-06-2020,4023,,,,,,,
08-09-2022,4020,,,,,,,
03-10-2019,4013,,,,,,,
20-08-2022,4011,,,,,,,
08-10-2022,4011,,,,,,,
29-11-2020,4009,,,,,,,
10-01-2020,4009,,,,,,,
15-05-2020,4007,,,,,,,
30-08-2019,4006,,,,,,,
03-09-2019,4005,,,,,,,
