Date,No_of_Accidents,,Tithi,Nakshtra,Karna,Yoga,Ayanamsa,Rashi
26-03-2016,251,,,,,,,
29-04-2021,239,,,,,,,
31-03-2022,239,,,,,,,
19-06-2016,229,,,,,,,
17-04-2016,213,,,,,,,
15-07-2018,202,,,,,,,
29-10-2016,170,,,,,,,
27-05-2017,166,,,,,,,
24-04-2016,159,,,,,,,
30-04-2016,156,,,,,,,
28-05-2017,140,,,,,,,
10-05-2022,132,,,,,,,
09-10-2016,95,,,,,,,
11-02-2016,93,,,,,,,
24-02-2016,86,,,,,,,
16-02-2016,84,,,,,,,
22-03-2016,82,,,,,,,
18-02-2016,73,,,,,,,
10-03-2016,72,,,,,,,
19-02-2016,72,,,,,,,
01-01-2017,66,,,,,,,
03-03-2016,64,,,,,,,
15-02-2016,62,,,,,,,
11-03-2016,61,,,,,,,
08-02-2016,60,,,,,,,
09-02-2016,59,,,,,,,
23-02-2016,58,,,,,,,
04-03-2016,58,,,,,,,
17-07-2016,58,,,,,,,
01-05-2016,56,,,,,,,
01-03-2016,55,,,,,,,
22-02-2016,55,,,,,,,
05-12-2020,54,,,,,,,
17-03-2016,53,,,,,,,
18-03-2016,53,,,,,,,
17-08-2021,53,,,,,,,
25-02-2016,51,,,,,,,
08-03-2016,51,,,,,,,
17-02-2016,51,,,,,,,
21-03-2016,49,,,,,,,
10-02-2016,49,,,,,,,
15-03-2016,46,,,,,,,
14-03-2016,45,,,,,,,
16-03-2016,44,,,,,,,
09-03-2016,42,,,,,,,
07-01-2022,41,,,,,,,
07-03-2016,41,,,,,,,
02-03-2016,40,,,,,,,
10-07-2020,39,,,,,,,
08-05-2016,38,,,,,,,
29-02-2016,36,,,,,,,
06-05-2016,35,,,,,,,
15-04-2016,28,,,,,,,
26-02-2016,27,,,,,,,
13-05-2016,25,,,,,,,
12-02-2016,18,,,,,,,
23-04-2016,17,,,,,,,
13-02-2016,14,,,,,,,
14-02-2016,13,,,,,,,
06-01-2022,12,,,,,,,
03-10-2021,11,,,,,,,
19-03-2016,11,,,,,,,
24-02-2023,11,,,,,,,
12-03-2016,10,,,,,,,
13-03-2016,9,,,,,,,
09-08-2021,8,,,,,,,
14-01-2016,7,,,,,,,
21-02-2016,7,,,,,,,
28-02-2016,7,,,,,,,
20-03-2016,7,,,,,,,
05-03-2016,7,,,,,,,
27-02-2016,6,,,,,,,
17-03-2023,5,,,,,,,
06-05-2022,5,,,,,,,
08-05-2022,4,,,,,,,
29-11-2022,4,,,,,,,
04-05-2020,4,,,,,,,
09-05-2022,4,,,,,,,
30-10-2022,4,,,,,,,
29-03-2022,4,,,,,,,
11-01-2023,4,,,,,,,
20-02-2016,4,,,,,,,
15-07-2021,4,,,,,,,
06-03-2016,4,,,,,,,
09-01-2023,3,,,,,,,
14-07-2021,3,,,,,,,
28-10-2016,3,,,,,,,
28-03-2022,3,,,,,,,
16-03-2023,3,,,,,,,
24-08-2019,2,,,,,,,
07-01-2023,2,,,,,,,
04-06-2022,2,,,,,,,
03-06-2022,2,,,,,,,
25-03-2022,1,,,,,,,
21-10-2022,1,,,,,,,
28-11-2022,1,,,,,,,
26-03-2022,1,,,,,,,
29-10-2022,1,,,,,,,
08-01-2023,1,,,,,,,
30-03-2022,1,,,,,,,
15-06-2016,1,,,,,,,
15-03-2023,1,,,,,,,
